
# Surface 0 of 1 surfaces

# Curve title: "x**2 + 2*x*y + y**3"

# Contour 0, label:    0.003
-1.0101010e-01 3.6110193e-02 3.0000000e-03 
-1.1765972e-01 6.0120240e-02 3.0000000e-03 
-1.6010195e-01 1.0020040e-01 3.0000000e-03 
-2.4982808e-01 1.4028056e-01 3.0000000e-03 
-3.0303030e-01 1.5270959e-01 3.0000000e-03 
-3.3569986e-01 1.8036072e-01 3.0000000e-03 
-3.9578933e-01 2.2044088e-01 3.0000000e-03 
-4.8203854e-01 2.6052104e-01 3.0000000e-03 
-5.0505051e-01 2.6905995e-01 3.0000000e-03 
-5.4498857e-01 3.0060120e-01 3.0000000e-03 
-6.0397649e-01 3.4068136e-01 3.0000000e-03 
-6.7666468e-01 3.8076152e-01 3.0000000e-03 
-7.0707071e-01 3.9546499e-01 3.0000000e-03 
-7.3760269e-01 4.2084168e-01 3.0000000e-03 
-7.8907539e-01 4.6092184e-01 3.0000000e-03 
-8.4675096e-01 5.0100200e-01 3.0000000e-03 
-9.0909091e-01 5.3916165e-01 3.0000000e-03 
-9.1114509e-01 5.4108216e-01 3.0000000e-03 
-9.5213333e-01 5.8116232e-01 3.0000000e-03 
-9.9436846e-01 6.2124248e-01 3.0000000e-03 
-1.0377265e+00 6.6132265e-01 3.0000000e-03 
-1.0820192e+00 7.0140281e-01 3.0000000e-03 
-1.1111111e+00 7.2860113e-01 3.0000000e-03 
-1.1201488e+00 7.4148297e-01 3.0000000e-03 
-1.1434277e+00 7.8156313e-01 3.0000000e-03 
-1.1618394e+00 8.2164329e-01 3.0000000e-03 
-1.1731626e+00 8.6172345e-01 3.0000000e-03 
-1.1740282e+00 9.0180361e-01 3.0000000e-03 
-1.1590683e+00 9.4188377e-01 3.0000000e-03 
-1.1191759e+00 9.8196393e-01 3.0000000e-03 
-1.1111111e+00 9.8666182e-01 3.0000000e-03 
-9.0909091e-01 9.9459176e-01 3.0000000e-03 
-8.6572597e-01 9.8196393e-01 3.0000000e-03 
-7.0923675e-01 9.4188377e-01 3.0000000e-03 
-7.0707071e-01 9.4137336e-01 3.0000000e-03 
-6.3109716e-01 9.0180361e-01 3.0000000e-03 
-5.4716836e-01 8.6172345e-01 3.0000000e-03 
-5.0505051e-01 8.4241897e-01 3.0000000e-03 
-4.7730020e-01 8.2164329e-01 3.0000000e-03 
-4.2562356e-01 7.8156313e-01 3.0000000e-03 
-3.7283307e-01 7.4148297e-01 3.0000000e-03 
-3.1782877e-01 7.0140281e-01 3.0000000e-03 
-3.0303030e-01 6.9022133e-01 3.0000000e-03 
-2.7826847e-01 6.6132265e-01 3.0000000e-03 
-2.4587742e-01 6.2124248e-01 3.0000000e-03 
-2.1453465e-01 5.8116232e-01 3.0000000e-03 
-1.8404225e-01 5.4108216e-01 3.0000000e-03 
-1.5409615e-01 5.0100200e-01 3.0000000e-03 
-1.2420400e-01 4.6092184e-01 3.0000000e-03 
-1.0101010e-01 4.2944213e-01 3.0000000e-03 
-9.7111759e-02 4.2084168e-01 3.0000000e-03 
-8.1948398e-02 3.8076152e-01 3.0000000e-03 
-6.8603417e-02 3.4068136e-01 3.0000000e-03 
-5.7161599e-02 3.0060120e-01 3.0000000e-03 
-4.7759904e-02 2.6052104e-01 3.0000000e-03 
-4.0634897e-02 2.2044088e-01 3.0000000e-03 
-3.6233424e-02 1.8036072e-01 3.0000000e-03 
-3.5513012e-02 1.4028056e-01 3.0000000e-03 
-4.0963232e-02 1.0020040e-01 3.0000000e-03 
-6.1712509e-02 6.0120240e-02 3.0000000e-03 
-1.0101010e-01 3.6110193e-02 3.0000000e-03 

7.0524809e+00 -2.4649299e+00 3.0000000e-03 
7.1717172e+00 -2.4983458e+00 3.0000000e-03 
7.1946889e+00 -2.5050100e+00 3.0000000e-03 
7.3367666e+00 -2.5450902e+00 3.0000000e-03 
7.3737374e+00 -2.5552263e+00 3.0000000e-03 
