
# Surface 0 of 1 surfaces

# Curve title: "sin(y**2) + x**2/3 - 1"

# Contour 0, label:        0
1.0101010e-01 7.1989661e+00 0.0000000e+00 
-1.0101010e-01 7.1989661e+00 0.0000000e+00 
-3.0303030e-01 7.2165942e+00 0.0000000e+00 

1.7171717e+00 8.1213724e+00 0.0000000e+00 
1.6685002e+00 8.1181181e+00 0.0000000e+00 
1.5151515e+00 8.1076029e+00 0.0000000e+00 
1.3567375e+00 8.0980981e+00 0.0000000e+00 
1.3131313e+00 8.0950926e+00 0.0000000e+00 
1.1111111e+00 8.0831576e+00 0.0000000e+00 
1.0079364e+00 8.0780781e+00 0.0000000e+00 
9.0909091e-01 8.0715786e+00 0.0000000e+00 
7.0707071e-01 8.0609516e+00 0.0000000e+00 
6.3372784e-01 8.0580581e+00 0.0000000e+00 
5.0505051e-01 8.0490529e+00 0.0000000e+00 
3.0303030e-01 8.0396276e+00 0.0000000e+00 
2.3488760e-01 8.0380380e+00 0.0000000e+00 
1.2398380e-01 8.0180180e+00 0.0000000e+00 
3.0303030e-01 8.0124369e+00 0.0000000e+00 
5.0505051e-01 7.9998423e+00 0.0000000e+00 
5.2477311e-01 7.9979980e+00 0.0000000e+00 
7.0707071e-01 7.9897325e+00 0.0000000e+00 
9.0150869e-01 7.9779780e+00 0.0000000e+00 
9.0909091e-01 7.9776530e+00 0.0000000e+00 
1.1111111e+00 7.9668281e+00 0.0000000e+00 
1.2490604e+00 7.9579580e+00 0.0000000e+00 
1.3131313e+00 7.9544908e+00 0.0000000e+00 
1.5151515e+00 7.9417364e+00 0.0000000e+00 
1.5677955e+00 7.9379379e+00 0.0000000e+00 
1.7171717e+00 7.9277426e+00 0.0000000e+00 
1.8451245e+00 7.9179179e+00 0.0000000e+00 
1.9191919e+00 7.9119571e+00 0.0000000e+00 
2.0764178e+00 7.8978979e+00 0.0000000e+00 
2.1212121e+00 7.8932030e+00 0.0000000e+00 
2.2541394e+00 7.8778779e+00 0.0000000e+00 
2.3232323e+00 7.8669752e+00 0.0000000e+00 
2.3761960e+00 7.8578579e+00 0.0000000e+00 
2.4385297e+00 7.8378378e+00 0.0000000e+00 
2.4412205e+00 7.8178178e+00 0.0000000e+00 
2.3844553e+00 7.7977978e+00 0.0000000e+00 
2.3232323e+00 7.7866845e+00 0.0000000e+00 
2.2697051e+00 7.7777778e+00 0.0000000e+00 
2.1212121e+00 7.7599446e+00 0.0000000e+00 
2.1011817e+00 7.7577578e+00 0.0000000e+00 
1.9191919e+00 7.7409273e+00 0.0000000e+00 
1.8808711e+00 7.7377377e+00 0.0000000e+00 
1.7171717e+00 7.7248431e+00 0.0000000e+00 
1.6154078e+00 7.7177177e+00 0.0000000e+00 
1.5151515e+00 7.7103945e+00 0.0000000e+00 
1.3164980e+00 7.6976977e+00 0.0000000e+00 
1.3131313e+00 7.6974483e+00 0.0000000e+00 
1.1111111e+00 7.6846233e+00 0.0000000e+00 
9.7982209e-01 7.6776777e+00 0.0000000e+00 
9.0909091e-01 7.6726801e+00 0.0000000e+00 
7.0707071e-01 7.6612609e+00 0.0000000e+00 
6.2207609e-01 7.6576577e+00 0.0000000e+00 
5.0505051e-01 7.6490119e+00 0.0000000e+00 
3.0303030e-01 7.6390618e+00 0.0000000e+00 
2.4519769e-01 7.6376376e+00 0.0000000e+00 
1.0672698e-01 7.6176176e+00 0.0000000e+00 
3.0303030e-01 7.6103876e+00 0.0000000e+00 
4.7666347e-01 7.5975976e+00 0.0000000e+00 
5.0505051e-01 7.5966265e+00 0.0000000e+00 
7.0707071e-01 7.5862603e+00 0.0000000e+00 
8.3397848e-01 7.5775776e+00 0.0000000e+00 
9.0909091e-01 7.5740093e+00 0.0000000e+00 
1.1111111e+00 7.5620128e+00 0.0000000e+00 
1.1736334e+00 7.5575576e+00 0.0000000e+00 
